PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,01,Región Cibao Norte,09,Espaillat,0001,Moca,7247,La Ortega,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,1075608
2023,12,Diciembre,01,Región Cibao Norte,09,Espaillat,0001,Moca,7247,La Ortega,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,200
2023,12,Diciembre,01,Región Cibao Norte,09,Espaillat,0001,Moca,7247,La Ortega,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,600
2023,12,Diciembre,01,Región Cibao Norte,09,Espaillat,0001,Moca,7247,La Ortega,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,4000
2023,12,Diciembre,03,Región Cibao Nordeste,06,Duarte,0001,San Francisco de Macorís,7248,La Peña,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,813694.2
2023,12,Diciembre,03,Región Cibao Nordeste,06,Duarte,0001,San Francisco de Macorís,7248,La Peña,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,35280
2023,12,Diciembre,03,Región Cibao Nordeste,06,Duarte,0001,San Francisco de Macorís,7248,La Peña,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,4500
2023,12,Diciembre,03,Región Cibao Nordeste,06,Duarte,0001,San Francisco de Macorís,7248,La Peña,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,3000
2023,12,Diciembre,03,Región Cibao Nordeste,06,Duarte,0001,San Francisco de Macorís,7248,La Peña,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,7500
2023,12,Diciembre,07,Región El Valle,02,Azua,0004,Padre las casas,7249,La Siembra,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,914767.03
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0004,Santo Domingo Norte,7250,La Victoria,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,9886996
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0004,Santo Domingo Norte,7250,La Victoria,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,3300
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0004,Santo Domingo Norte,7250,La Victoria,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,5000
