salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
104701.25,7423.318625000001,7433.78875,1021.8119999999999,1047.0125,98513.406125,121627.181875,8725.104166666666,4071.715277777778,134424.00131944445
105201.25,7458.768625000001,7469.28875,1021.8119999999999,1052.0125,98983.85612499999,122203.131875,8766.770833333334,4091.159722222222,135061.06243055555
105701.25,7494.218625,7504.78875,1021.8119999999999,1057.0125,99454.306125,122779.08187499999,8808.4375,4110.604166666667,135698.12354166663
106201.25,7529.668625,7540.28875,1021.8119999999999,1062.0125,99924.756125,123355.031875,8850.104166666666,4130.048611111111,136335.1846527778
106701.25,7565.118625,7575.78875,1021.8119999999999,1067.0125,100395.20612500001,123930.98187500001,8891.770833333334,4149.493055555556,136972.2457638889
107201.25,7600.568625000001,7611.28875,1021.8119999999999,1072.0125,100865.656125,124506.931875,8933.4375,4168.9375,137609.306875
107701.25,7636.018625000001,7646.78875,1021.8119999999999,1077.0125,101336.10612499999,125082.881875,8975.104166666666,4188.381944444444,138246.36798611112
108201.25,7671.468625,7682.28875,1021.8119999999999,1082.0125,101806.556125,125658.83187499999,9016.770833333334,4207.826388888889,138883.4290972222
108701.25,7706.918625,7717.78875,1021.8119999999999,1087.0125,102277.006125,126234.781875,9058.4375,4227.270833333333,139520.49020833333
109201.25,7742.368625,7753.28875,1021.8119999999999,1092.0125,102747.45612500001,126810.73187500001,9100.104166666666,4246.715277777777,140157.55131944446
109701.25,7777.818625000001,7788.78875,1021.8119999999999,1097.0125,103217.906125,127386.681875,9141.770833333334,4266.159722222223,140794.61243055554
110201.25,7813.268625000001,7824.28875,1021.8119999999999,1102.0125,103688.35612499999,127962.631875,9183.4375,4285.604166666667,141431.67354166668
110701.25,7848.718625,7859.78875,1021.8119999999999,1107.0125,104158.806125,128538.58187499999,9225.104166666666,4305.048611111111,142068.73465277778
111201.25,7884.168625,7895.28875,1021.8119999999999,1112.0125,104629.256125,129114.531875,9266.770833333334,4324.493055555556,142705.7957638889
111701.25,7919.618625000001,7930.78875,1021.8119999999999,1117.0125,105099.70612500001,129690.48187500001,9308.4375,4343.9375,143342.856875
112201.25,7955.068625000001,7966.28875,1021.8119999999999,1122.0125,105570.156125,130266.431875,9350.104166666666,4363.381944444444,143979.9179861111
